titular,perfil_icp,n_concesiones,hectareas_totales,departamentos,provincias,sustancias,estados_concesion,servicio_potencial,REINFO,IGAFOM,DAC,ESTAMIN,revisar_manual,ruc,fuente_dato
EXPLORACIONES HORIZONTE GOLD S.A.C.,MIXTO_1_y_2,11,1800.0,PIURA,AYABACA; AYABACA /  PIURA; PIURA; PIURA /  SULLANA; SULLANA,M,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CIA MINERA CLEOFE S.R.L.,MIXTO_1_y_2,8,1400.0,CAJAMARCA,CHOTA; HUALGAYOC,M; N,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
ODISEA PERUS S.A.C,MIXTO_1_y_2,8,2000.0,PIURA,AYABACA; PAITA; PIURA; PIURA /  SECHURA; PIURA /  SULLANA; SULLANA,M; N,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
J.C. ASTILLEROS S.A.,MIXTO_1_y_2,7,1969.4,ANCASH,CASMA /  SANTA; MAR /  SANTA; SANTA,M; N,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CALERA EL ZASAL S.A.C.,MIXTO_1_y_2,7,1900.0,CAJAMARCA,CELENDIN; CELENDIN /  HUALGAYOC; CHOTA /  HUALGAYOC; HUALGAYOC,N,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
INEXPORT SERVIS SOCIEDAD ANONIMA CERRADA,MIXTO_1_y_2,7,1500.0,PIURA,PIURA; SECHURA; SULLANA,N,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CORPORACION MINERA NUEVA LUZ E.I.R.L.,MIXTO_1_y_2,6,800.0,ANCASH,CASMA /  YUNGAY; CORONGO; CORONGO /  SANTA; SANTA,M,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
COMPANIA DE MINAS MININGOLD SR.L.,MIXTO_1_y_2,5,1300.0,CAJAMARCA,CHOTA; HUALGAYOC,M; N,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CALERA BENDICION DE DIOS E.I.R.L.,MIXTO_1_y_2,5,1700.0,CAJAMARCA,CELENDIN; CHOTA; CHOTA /  HUALGAYOC; HUALGAYOC,N,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
MINERA CASSIL E.I.R.L.,MIXTO_1_y_2,5,700.0,CAJAMARCA,CAJAMARCA,N,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
ILLESCAS SERVICE S.A.C.,MIXTO_1_y_2,5,900.0,PIURA,PIURA,N,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CONSTRUCTORA Y SERVICIOS ESTRELLA DEL ORIENTE S.A.,MIXTO_1_y_2,5,600.0,PIURA,PAITA; PAITA /  SULLANA; PIURA; PIURA /  SULLANA; SULLANA,N,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CONSTRUCTORA Y SERVICIOS GENERALES G&G S.A.C,MIXTO_1_y_2,4,1100.0,ANCASH,HUARMEY; SANTA,M; N,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
CALIPEC S.A.C.,MIXTO_1_y_2,4,400.0,ANCASH,HUARMEY,N,TITULADO; TRAMITE,IGAFOM + REINFO + DIA/PAMA + DAC/ESTAMIN + Seguridad,true,true,true,true,false,,INGEMMET - Catastro Minero (zona 17S)
