razon_social,n_concesiones,hectareas_totales,departamentos,provincias,estados_concesion,sustancias,dominio_corporativo,nombre_decisor,cargo,correo_corporativo,telefono_empresarial,fuente_dato,servicio_potencial,ultima_interaccion
COMPAÑIA MINERA AGREGADOS CALCAREOS S.A.,151,29153.7,ANCASH; CAJAMARCA; PIURA,CAJAMARCA; CASMA; CELENDIN; HUANCABAMBA; JAEN; MAR /  SECHURA; PAITA; PAITA /  SULLANA /  TALARA; PAITA /  TALARA; PALLASCA; PIURA; PIURA /  SULLANA; SAN MARCOS; SAN MIGUEL; SAN PABLO; SANTA; SULLANA; SULLANA /  TALARA; TALARA,TITULADO; TRAMITE,N,holcim.com.pe,,,,,"; sitio web oficial (comacsa.com.pe redirige a Holcim Peru — marca fusionada, verificar vigencia del nombre legal)",,
MINISTERIO DE TRANSPORTES Y COMUNICACIONES,136,847.1,ANCASH; CAJAMARCA; PIURA,AYABACA; CAJAMARCA; CASMA; CELENDIN; CHOTA; CUTERVO; HUANCABAMBA; HUARMEY; JAEN; PAITA; PALLASCA; PIURA; PIURA /  SULLANA; SAN MIGUEL; SAN PABLO; SANTA; SANTA CRUZ; SECHURA; SULLANA,OTROS,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CEMENTOS PACASMAYO S.A.A.,122,93841.3,ANCASH; CAJAMARCA; CAJAMARCA /  LA LIBERTAD; CAJAMARCA /  LAMBAYEQUE; PIURA,ASCOPE /  CONTUMAZA; CAJABAMBA /  SANCHEZ CARRION; CAJAMARCA; CELENDIN; CHEPEN /  SAN MIGUEL; CHICLAYO /  SAN MIGUEL; CHICLAYO /  SANTA CRUZ; CHOTA; CHOTA /  HUALGAYOC; CHOTA /  SANTA CRUZ; CONTUMAZA; CONTUMAZA /  GRAN CHIMU; CORONGO; CORONGO /  PALLASCA; MAR /  PAITA; MAR /  SECHURA; MORROPON; PAITA; PAITA /  PIURA; PAITA /  PIURA /  SULLANA; PAITA /  SULLANA; PALLASCA; PIURA; SAN MARCOS; SAN MIGUEL; SANTA; SANTA CRUZ; SECHURA; SULLANA,TITULADO; TRAMITE,N,cementospacasmayo.com.pe,,,,,; sitio web oficial,,
GOLD FIELDS LA CIMA S.A.,112,15758.3,CAJAMARCA,CAJAMARCA; CAJAMARCA /  SAN PABLO; HUALGAYOC; HUALGAYOC /  SAN MIGUEL; SAN PABLO,OTROS; TITULADO; TRAMITE,M,goldfields.com.pe,,,,,; sitio web oficial,,
FRESNILLO PERU S.A.C.,108,56529.7,ANCASH; CAJAMARCA; CAJAMARCA /  LA LIBERTAD; CAJAMARCA /  LAMBAYEQUE; CAJAMARCA /  LAMBAYEQUE /  PIURA; PIURA,CAJABAMBA; CAJABAMBA /  CAJAMARCA; CAJABAMBA /  GRAN CHIMU; CAJABAMBA /  OTUZCO; CAJAMARCA; CELENDIN; CHICLAYO /  CHOTA; CHICLAYO /  SANTA CRUZ; CHOTA; CONTUMAZA; CUTERVO; CUTERVO /  FERREÑAFE; CUTERVO /  JAEN; HUALGAYOC; HUALGAYOC /  SANTA CRUZ; HUANCABAMBA; HUANCABAMBA /  JAEN /  LAMBAYEQUE; JAEN; SAN IGNACIO; SAN MIGUEL; SAN PABLO; SANTA; SANTA CRUZ,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA LA GRANJA S.A.C.,62,49794.1,CAJAMARCA,CHOTA; CHOTA /  CUTERVO; CUTERVO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA MISKI MAYO S.R.L.,57,117309.1,PIURA,MAR /  SECHURA; SECHURA,OTROS; TITULADO,N,miskimayo.com,,,,,; sitio web oficial,,
REGULUS RESOURCES PERU S.A.C.,40,3525.5,CAJAMARCA,HUALGAYOC,TITULADO,M,regulusresources.com,,,,,"; sitio web oficial (dominio del grupo matriz canadiense, usado tambien para la operacion en Peru)",,
NEXA RESOURCES PERU S.A.A.,38,33200.0,CAJAMARCA; PIURA,AYABACA; CAJABAMBA; CAJABAMBA /  SAN MARCOS; CAJAMARCA /  SAN MARCOS; PIURA,TITULADO; TRAMITE,M,nexaresources.com,,,,,; sitio web oficial,,
MINERA ATE S.A.C.,36,20453.8,PIURA,AYABACA; AYABACA /  FUERA DEL PERU; AYABACA /  PIURA; AYABACA /  SULLANA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
